ParticipantID,Condition,Block,No.,TargetID,TargetNumber,W,A,TargetX,TargetY,TargetZ,EnterX,EnterY,EnterZ,ExitX,ExitY,ExitZ,TimeTrialStart,TimeEnterTarget,TimeExitTarget
P,ConditionA,1,1,0,0,0.30,0.35,0.300,-0.220,0.500,0.300,-0.220,0.500,0.300,-0.220,0.500,0.000,49.450,49.562
P,ConditionA,1,1,7,1,0.30,0.35,-0.291,-0.292,0.500,-0.291,-0.292,0.500,-0.291,-0.292,0.500,49.562,50.717,50.856
P,ConditionA,1,1,1,2,0.30,0.35,0.266,-0.081,0.500,0.266,-0.081,0.500,0.266,-0.081,0.500,50.856,52.053,52.192
P,ConditionA,1,1,8,3,0.30,0.35,-0.225,-0.419,0.500,-0.225,-0.419,0.500,-0.225,-0.419,0.500,52.192,53.153,53.250
P,ConditionA,1,1,2,4,0.30,0.35,0.170,0.027,0.500,0.170,0.027,0.500,0.170,0.027,0.500,53.250,55.756,55.853
P,ConditionA,1,1,9,5,0.30,0.35,-0.106,-0.501,0.500,-0.106,-0.501,0.500,-0.106,-0.501,0.500,55.853,63.261,63.455
P,ConditionA,1,1,3,6,0.30,0.35,0.036,0.078,0.500,0.036,0.078,0.500,0.036,0.078,0.500,63.455,89.489,89.615
P,ConditionA,1,1,10,7,0.30,0.35,0.036,-0.518,0.500,0.036,-0.518,0.500,0.036,-0.518,0.500,89.615,91.021,91.188
P,ConditionA,1,1,4,8,0.30,0.35,-0.106,0.061,0.500,-0.106,0.061,0.500,-0.106,0.061,0.500,91.188,93.624,93.721
P,ConditionA,1,1,11,9,0.30,0.35,0.170,-0.467,0.500,0.170,-0.467,0.500,0.170,-0.467,0.500,93.721,94.724,94.821
P,ConditionA,1,1,5,10,0.30,0.35,-0.225,-0.021,0.500,-0.225,-0.021,0.500,-0.225,-0.021,0.500,94.821,109.384,109.550
P,ConditionA,1,1,12,11,0.30,0.35,0.266,-0.359,0.500,0.266,-0.359,0.500,0.266,-0.359,0.500,109.550,110.650,110.789
P,ConditionA,1,1,6,12,0.30,0.35,-0.291,-0.148,0.500,-0.291,-0.148,0.500,-0.291,-0.148,0.500,110.789,111.987,112.112
